velocity,baroaltitude,lat,lon,vertrate
220.245727301,10972.8,47.2123951023,15.9690504808,0.0
212.652133984,9243.06,44.7206268311,-78.1947980608,-13.0048
229.18581241,11269.98,50.6669311523,13.3390647487,0.0
226.40972085,11582.4,46.9019382283,13.1185208834,0.0
240.271784781,10675.62,50.7378426245,5.01991271973,-0.32512
232.597535909,10965.18,48.5859375,9.30943415715,0.0
237.181559474,10370.82,50.5864562988,5.47097457083,-0.32512
258.249863209,10058.4,47.623218601,16.9428898738,0.0
223.603308001,10660.38,49.8952331543,14.4035821212,-0.32512
222.934175331,11582.4,50.0290848037,13.935489139,0.0
